00C,Animas Air Park,37.203178,-107.8691945
00CA,GOLDSTONE GTS,35.354833,-116.8854165
00E,[H] Apache Junction,33.49421222,-111.64124806
00F,BROADUS AIRPORT,45.472528,-105.453695
00FD,[H] Ringhaver,28.84665027,-82.34537195
00FL,River Oak,27.23087972,-80.96923056
00I,Chapman Memorial Field,40.29457658,-82.731757725
00II,[H] Bailey Generation Station,41.64448166,-87.12281195
00IL,Hammer,41.97836333,-89.56038834
00IS,Hayengas cant Find Farms,40.025595,-89.12286473
00K,Redpath RLA,38.18199361,-89.80843501
00KS,Hayden Farm,38.72778666,-94.93051973
00L,Lyall-Roberts,33.32447833,-116.99030501
00M,THIGPEN FLD,31.9536805,-89.2352775
00MI,[H] Dow Chemical,43.94944944,-86.41674862
00MN,Battle Lake Municipal,46.29996027,-95.70032417
00N,Bucks,39.47317055,-75.18518473
00NC,North Raleigh,36.08515027,-78.37138556
00NJ,[H] Colgate-Piscataway,40.52093694,-74.47459751
00OI,[H] Miami Valley Hospital,39.74533666,-84.18743973
00OR,[H] Steel Systems,44.93289666,-123.13037639
00Q,Thayer Aviation,39.07489388,-121.91774751
00R,LIVINGSTON MUNI,30.6858585,-95.017932
00S,Mc Kenzie Bridge State,44.183174,-122.088661
00TA,[H] SW Region FAA,32.82694444,-97.30583334
00TS,Alpine Range,32.60763555,-97.24195778
00UT,CLEAR CREEK RANCH,37.2475,-112.822225
00V,MEADOW LAKE,38.9481211666667,-104.571195333333
00VA,[H] City,36.74598305,-76.05243167
00X,[H] Doral Resort & Country Club,25.81287583,-80.33894084
00XS,L P Askew Farms,33.03342777,-101.93377195
00Y,Kapaun-Wilson Field,45.55051861,-96.45145
01A,Purkeypile,62.94361083,-152.27001639
01B,Woodstock,41.92148638,-71.95285084
01C,Grant,43.34168861,-85.7750475
01CA,[H] Lugo Substation,34.36861222,-117.37004695
01CO,[H] St Vincent General Hospital,39.24526749,-106.24585612
01FD,[H] Florida Hospital-Altamonte,28.66638638,-81.37062417
01FL,Cedar Knoll Flying Ranch,28.78193611,-81.15922778
01G,PERRY WARSAW,42.74184575,-78.0499425
01GA,[H] Medical Center,32.47930888,-84.97909834
01H,Mc Christy,39.64309694,-89.14452612
01I,August Acres,40.16256277,-82.78184112
01II,Myers Field,39.88504388,-86.50666667
01IL,[H] Hoopeston Community Memorial Hospital,40.4586475,-87.65946806
01J,Hilliard Airpark,30.6880125,-81.90594389
01K,Caldwell Municipal,37.03613583,-97.58643834
01KS,Flying N Ranch,38.54056777,-97.00335
01LA,Barham,32.63902694,-91.77373612
01LL,Schumaier Rla,38.12583333,-89.46388889
01M,TISHOMINGO CO,34.491667,-88.201111
01MA,[H] Digital Dascomb Road,42.62509222,-71.18006945
01MI,[H] Flow Through Terminal,43.04947111,-83.67967862
01MN,[S] Barnes,47.89963777,-92.55738945
01MO,[H] HP Troop C HQ,38.64171916,-90.48428695
01MT,CRYSTAL LAKES RESORT,48.7891335,-114.8804225
01NC,Topsail Airpark,34.47527777,-77.58138889
01NE,Detour,40.84361666,-100.65264362
01NJ,[H] Albert Guido Memorial,40.74176805,-74.13708778
01NY,[H] Vassar Hospital,41.70009333,-73.94958223
01OH,Gillmor,41.28283083,-83.14797501
01OI,[H] Galion Community Hospital,40.73061333,-82.80156973
01OK,Lawrence,35.29449944,-98.63645445
01OR,Red & White Flying Service,43.11930666,-121.04471889
01PA,[H] Pine,40.65562222,-80.05089139
01PN,Bierly - Personal Use,40.93061694,-77.73888973
01TA,[H] Red Adair,29.84050388,-95.50438584
01TS,[H] St Joseph Hospital,32.72846416,-97.32446056
01TX,Mims Farm,32.38764194,-96.87749862
01U,Duckwater,38.85159972,-115.63364695
01W,Sawyer,37.99067861,-75.59187112
01WA,[H] Willapa Harbor,46.66315472,-123.81210612
01X,[H] Jackson Memorial Hospital,25.79204277,-80.21227028
01XS,[H] Meadowood Ranch,32.02016027,-95.74551695
02A,GRAGG WADE FLD,32.850483,-86.611436
02AK,Rustic Wilderness,61.87530527,-150.09474001
02C,CAPITOL,43.0888991666667,-88.1786558333333
02CA,[H] Swepi Beta Platform Ellen,33.58252222,-118.12895417
02CO,Mc Cullough,37.64333472,-106.04697001
02E,[H] Mesa Lutheran Hospital,33.4342125,-111.84152945
02F,Smith Field,32.73762916,-96.42804056
02FD,[H] Doctors Memorial Hospital,30.78518944,-85.67854195
02FL,[H] Florida Power Corp General HQ Helistop,27.739195,-82.68176612
02G,COLUMBIANA CO,40.6733165,-80.6414265
02GA,Doug Bolton Field,34.20260805,-83.42904889
02II,King,40.06226,-86.21054751
02IL,Shissler Farm,40.79642611,-89.98594667
02IS,[H] Condell Memorial Hospital,42.27502305,-87.95701889
02K,Arrowhead,38.6965739525,-90.5200010375
02KS,JMQ Landing,39.22221888,-96.05527056
02KY,[H]  Boone National Guard,38.183406,-84.899951
02L,Five Points Ranch,36.42495138,-120.26542806
02LA,[H] LA State Police Troop G,32.53126222,-93.66017695
02LL,[H] Official Airline Guides,41.84928027,-87.93342306
02MA,[H] Cuttyhunk,41.41955194,-70.92697945
02MI,[H] Nitz,42.53503277,-83.67716334
02MO,Troy Airpark,39.05004638,-91.03347473
02NC,Oakridge Farm,35.17722222,-81.64472223
02ND,Dresden Field,48.80833694,-98.52373167
02NE,Benes Service,41.07445138,-96.90446917
02NJ,[H] Penske,40.55732555,-74.4670975
02NY,[H] Hansen,43.13256833,-75.65545973
02OH,Zimmerman,41.37644111,-83.08325112
02OI,Murtha,41.80199916,-80.56535139
02OK,[H] Canon,35.45839333,-97.52531639
02OR,Rowena Dell,45.68150888,-121.31646139
02PA,[H] Louis A Grant Inc,40.46312777,-79.76893334
02PN,[H] Peco Berwyn,40.06955166,-75.45519306
02Q,[H] St Rose Hospital Helistop,37.63326611,-122.08857417
02T,Wise River,45.769092,-112.981704
02TA,[H] Matagorda Shore Facility,28.721375,-95.87385028
02TS,[H] Fwomc,32.74763,-97.37001751
